Pearl,Ethoslab,Scar,Grian,Zedaph,Hypnotizd,TangoTek,Cubfan135,Keralis,Geminitay,impulseSV,XB,Docm77,VintageBeef,Xisuma,JoeHills,iskall85,Stress,iJevin,RenDog,ZombieCleo,BdoubleO100,Run No.
,,,,,,,,,,,,,,,1000.472838,,,,,,,230
,,,,,,,,,,,,,,,994.6546561,1019.257714,,,,,,231
,,,,,,,,1000.0,,,,,,,,996.4884833,,,,,,232
,,,,,,,,1018.169492,,,,,,,,,,,,,,233
,,,,,,,,1004.338983,,,,,,,,,,,,,,234
,,,,,,,,1022.508475,,,,,,,,,,,,,,235
,,,,,,,,1051.226423,,,,,,,,,,,,,,236
,,,,,,,,1028.457193,,,,,,,,,,,,,,237
,,,,,,,,,,,,,,,,,,,,,,238
,,,,,,,,,,,,,990.5084746,,,,,,,,,239
,,,,,,,,,,,,,1008.677966,,,,,,,,,240
,,,1058.816167,,,,,,,,,,994.8474576,,,,,,,,,241
1003.494133,1119.826163,1049.517759,1068.046936,1046.776184,1025.678638,1022.639011,995.8730987,1028.457193,1024.914385,1022.378255,1018.169492,995.1395046,994.8474576,966.9256845,994.6546561,996.4884833,944.6779661,1015.621034,939.5254237,933.2533681,907.8174707,242
