Ethoslab,GeminiTay,Pearl,Grian,Scar,Hypnotizd,TangoTek,Cubfan135,Zedaph,xBCrafted,FalseSymmetry,MumboJumbo,impulseSV,Docm77,JoeHills,VintageBeef,Keralis,iJevin,iskall85,BdoubleO100,Stress,Xisuma,ZombieCleo,Rendog,Run No.
,,,,,,,,,,,,,,,,,,,,,,964.6188614,,134
,,,,,,,,,,,,,,,,,,,,,,946.3189917,,135
,,,,,,,,,,,,,,,,,,,,,,928.0191221,,136
,,,,,,,,,,,,,,,,,,,,,,924.7370708,,137
,,,,,,,,,1000.0,,,,,,,,,,,,,906.4372012,,138
,,,,,,,,,1013.70013,,,,,,,,,,,,,,,139
,,,,,984.2364189,,,,,,,,,,,,,,,,,,,140
,996.6188614,,,,997.9365493,,,,,,,,,,,,,,,,,,,141
,1010.318992,,,,,,,,,,,,,,,,,,,,,,,142
,1007.03694,,,,,,,990.8005215,,,,,,,,,,,,,,,,143
,,,,,,,,1004.500652,,,,,,,,,,,,,,,,144
,,,,,,,,,,,,,,,,,,,,,,,,145
,,,,,,,,,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,,,,,,,,,147
,,,,,997.9365493,,,,,,,,,,,,,,,,,,,148
,,,,,1024.118368,,,,,,,,,,,,,,,,,,,149
,,,,,1018.300186,,,,,,,,,,,,,,,,,,,150
,,,,,1012.482004,,,,,,,,,,,,,,,,,,,151
,,,,,1006.663822,,,,,,,,,,,,,,,,,,,152
,,,,967.9009126,1000.84564,,,,,,,,,,,,,,,,,,,153
,,,,981.601043,,,,,,,,,,,,,,,,,,,,154
,,,,963.3011734,,,,,,,,,,,,,,,,,,,,155
,,,,945.0013038,,,,,,,,,,,,,,,,,,,958.8005215,156
,,,,945.0013038,,,,,,,,,,,1000.0,,,,,,,,972.5006519,157
,,,,945.0013038,,,,,,,,,,,981.7001304,,,,,,,,,158
,,,,973.7192525,,,,,,,,,,,,,,,,,,,,159
1048.236419,,,,987.4193829,,,,,,,,,,,,,,,,,,,,160
1076.954368,,,,987.4193829,,,,,,,,,,,,,,,,,,,,161
,,,,1001.119513,,1000.0,,,,,,,,,,,,,,,,,,162
,,,,,,981.7001304,,,,,,,,,,,,,,,,,,163
,,,,,,995.4002608,,,,,,,,,,,,,,,,,,164
,,,,,,1009.100391,,,,,,,,,,,,,,,,,,165
,,,,,,1022.800522,,,,,,,,,,,,,,,,,,166
,,,,,,1022.800522,,,,,,,,,,,,,,,,,,167
,,,,,,1016.98234,,,,,,,,,,,,,,,,,,168
,,,,,,1016.98234,,,,,,,,,,,,,,,,,,169
,,,,,,1013.700288,,,,,,,,,,,1026.654498,,,,,,,170
,,,,,,,,,,,,,,,,,1023.372447,,,,,,,171
,,,,,,,,,,,,,,,,,1020.090395,977.1003911,,,,,,172
,,,,,,,,,,,,,,,,,,990.8005215,,,,,,173
,,,,,,,,,,,,,,,,,,1004.500652,,,,,,174
,,,,,,,,,,,,,,,,,,1001.218601,,,,,,175
,,,1045.601043,,,,,,,,,,,,,,,1014.918731,,,,,,176
,,,1042.318992,,,,,,,,,,,,,,,1014.918731,,,,,,177
,,,,,,,,,,,,,,,,,,996.6188614,,,,,,178
,,,,,,,,,,,,,,,,,,1010.318992,,,,,,179
,,,1042.318992,,,,,,,,,,,,,,,,,,,,,180
,,,1039.03694,,,,,,,,,,,,,,,,,,,,,181
,,,,,,,,,,,,,,,,,,,,,,,,182
,,,,,,,,,,,,,940.5006519,,,,,,,,,,,183
,,,,,,,,,,,,,954.2007823,,,,,,,,,,,184
,,,,,,,,,,,,,,979.6366797,,,,,,,,,,185
,,,,,,,,,,,,,,976.3546284,,,,,,,,,,186
,,,,,,,,,,,,,,976.3546284,,,,,,,,,,187
,,,,,,,,,,,,,,990.0547588,,,,,,,,,,188
,,,,,,,,,,,,,,986.7727075,,,,,922.2007823,,,,,189
,,,,,,,,,,,,,,,,,,,903.9009126,,,,,190
,,,,,,,,,,,,,,,,,,,917.601043,,,,,191
,,,,,,,,,,,,,,,,,,,899.3011734,,,,,192
,,,,1001.119513,,,,,,,,,,,,,,,881.0013038,,,,,193
,,,,1014.819644,,,,,,,,,,,,,,,,,,,,194
,,,,1028.519774,,,,,,,,,,,,,,,,,,,,195
,,,,1022.701592,,,,,,,,,,,,,,,,,,,,196
,,,,,,,,,,,,,,,,,,,,,,,,197
,,979.6366797,,,,,,,,,,,,,,,,,,,,,,198
,,993.3368101,,,,,,,,,,,,,,,,,,,,,,199
,,975.0369405,,,,,,,,,,,,,,,,,,,,,,200
,,988.7370708,,,,,,,,,,,,,981.7001304,,,,,,,,,201
,,988.7370708,,,,,,,,,,,,,995.4002608,,,,,,,,,202
,,1002.437201,,,,,,,,,,,,,995.4002608,,,,,,,,,203
,,1002.437201,,,,,,,,,,,,,977.1003911,,,,,,,,,204
,,984.1373316,,,,,,1004.500652,,,,,,,,,,,,,,,,205
,,984.1373316,,,,,,986.2007823,,,,,,,,,,,,,,,,206
,,997.837462,,,,,,986.2007823,,,,,,,,,,,,,,,,207
,,,,,,,,982.918731,,,,,,,,,,,,,,,,208
,,,,,,,,979.6366797,,,,,,,,,,,,,,,,209
,,,,,,,,993.3368101,,,,,,,,,,,,,,,,210
,,,,,,,,1022.054759,,,,,,,,,,,,,,,,211
,,,,,,,,1018.772708,,,,,,,,,,,,,,,,212
,,,,,1000.84564,,,1015.490656,,,,,,,,,,,,,,,,213
,,997.837462,,,1027.027458,,,,,,,,,,,,,,,,,,,214
,,994.5554107,,,,,,,,,,,,,,,,,,,,,972.5006519,215
,,,,,,,,,,,,,,,,,,,,,,,954.2007823,216
,,,,,1027.027458,,,,,,,,,,,,,,,,,,935.9009126,217
,,,,,1021.209277,,,,,,,,,,,,,,,,,,935.9009126,218
,,,,,,,,,,,,,,,,,,,,,,,917.601043,219
,,,,,,,,,,,,,,,,,,,,,,,899.3011734,220
,,,,,,,,,,,,,,,,,,,,,,,,221
1076.954368,,,,,,,,,,,,,,,,,,,,,,,,222
1058.654498,,,,,,,,,,,,,,,,,,,,,,,,223
1072.354628,,,,,,,,,,,,,,,,,,,,,,,,224
1069.072577,,,,,,,,,,,,,,,,,,,,,,,,225
1082.772708,,,,,,,,,,,,,,,,,,,,,,,,226
1096.472838,,,,,,,,,,,,,,,,,,,,,,,,227
1110.172968,,,1039.03694,,,,,,,,,,,,,,,,,,,,,228
,,,1035.754889,,,,,,,,,,,986.7727075,,,,,,,,,,229
,,,,,,,,,,,,,,1000.472838,,,,,,,,,,230
,,,,,,,,,,,,,,994.6546561,,,,1010.318992,,,,,,231
,,,,,,,,,,,,,,,,1000.0,,992.0191221,,,,,,232
,,,,,,,,,,,,,,,,1013.70013,,,,,,,,233
,,,,,,,,,,,,,,,,995.4002608,,,,,,,,234
,,,,,,,,,,,,,,,,1009.100391,,,,,,,,235
,,,,,,,,,,,,,,,,1037.81834,,,,,,,,236
,,,,,,,,,,,,,,,,1019.51847,,,,,,,,237
,,,,,,,,,,,,,,,,,,,,,,,,238
,,,,,,,,,,,,,,,977.1003911,,,,,,,,,239
,,,,,,,,,,,,,,,990.8005215,,,,,,,,,240
,,,1035.754889,,,,,,,,,,,,972.5006519,,,,,,,,,241
,,,1049.45502,,1021.209277,,,,,,,,,,,,,,,,,,,242
,1007.03694,,,,1017.653721,,,,,,,,,,,,,,,,,,,243
,1016.965794,,,,,1013.700288,,,,,,,,,,,,,,,,,,244
,,,,,,1023.629142,,,,,,,,994.6546561,,,,,,,,,,245
,,,,,,,,,,,,,,972.5835098,,,,,,,,,,246
,,,,,,,,,,,,,,961.1118117,,,,,,,,,,247
,,,,,,,,,,,,,,939.0406655,,,,,,,,,,248
,,,,,,,,,,,,,,948.9695192,,,,,,,,,,249
,,,,,,,,,,,,,,,,,,,,,926.7014342,,,250
,,,,,,,,,,,,,,,,,,,,,904.6302879,,,251
,,,,,,,,,,,,,,,,,,,,,914.5591417,,,252
,,,,,,,,,,,,,,,,,,,,,903.0874436,,,253
,,,,,,,,,,,,,,,,,,,,,881.0162973,,,254
,,,,,,,,,,,,,,,,,,,,,890.9451511,,,255
,,,,,,,,,,,,,,,,,,,,,911.473453,,,256
,,,,,,,,1015.490656,,,,,,,,,,,,,,,,257
,,994.5554107,,,,,,1025.41951,,,,,,,,,,,,,,,,258
,,1004.484264,,,,,,,,,,,,,,,,,,,,,,259
,,1014.413118,,,,,,,,,,,,948.9695192,,,,,,,,,,260
,,1014.413118,,,,,,,,,,,,958.898373,,,,,,,,,,261
,,1024.341972,,,,,,,,,,,,,,,,,,,,,,262
,,1034.270826,,,,,,,,,,,,,,,,,,,,,,263
,,1044.199679,,,,,,,,,,,,,,,,,,,,,,264
,,1072.644124,,,,,,,,,,,,958.898373,,,,,,,,,,265
,,1072.644124,,,,,,,,,,,,968.8272267,,,,,,,,,,266
,,1069.088568,,,,,,,,,,,,,,,,,,,,,,267
,,1065.533013,,,,,,,,,,,,,,,,,,,,,,268
,,1093.977457,,,1017.653721,,,,,,,,,,,,,,,,,,,269
,,,,,1014.098165,,,,,1000.0,,,,968.8272267,,,,,,,,,,270
,,,,,,,,,,1000.0,,,,957.3555286,,,,,,,,,,271
,,,,,,,,,,1009.928854,,,,,,,,,,,,,,272
,,,,,,,,,,1019.857708,,,,,,,,,,,,,,273
,,,,,,,,1025.41951,,1029.786561,,,,,,,,,,,,,,274
,,,,,,,,1013.947812,,1029.786561,,,,,,,,,,,,,,275
,,,,,,,,,,1007.715415,,,,,,,,,,,,,,276
,,,,,,,,,,1017.644269,,,,,,,,992.0191221,,,,,,277
,,,,,,,,,,,,,,,,,,1001.947976,,,,,,278
,,,,,,,,,,,,,954.2007823,,,,,990.4762778,,,,,,279
,,,,,,,,,,,,,964.129636,,,,,990.4762778,,,,,,280
,,,,,,,,,,,,,964.129636,,,,,979.0045796,,,,,,281
,,,,,,,,,,,,,964.129636,,,,,988.9334334,,,,,,282
,,,,,,,,,,,,,952.6579379,957.3555286,,,,,,,,,,283
,,,,,,,,,,,,,,977.8838305,,,,,,,,,,284
,,,,,,,,,,,,,,987.8126843,,,,,,,,,,285
,,,,,,,,,,,,,952.6579379,976.3409862,,,,,,,,,,286
,,,,,,,,,,,,,962.5867917,976.3409862,,,,,,,,,,287
,,,,,,,995.8730987,,,,,,,986.2698399,,,,,,,,,,288
,,,,,,,1005.801952,,,,,,,,,,,,,,,,,289
,,,,,,,1015.730806,,,,,,,,,,,,,,,,,290
,,,,,,,1012.175251,,,,,,,,,,,,,,,,,291
